smiles,exp
Oc1ncnc2scc(c3ccsc3)c12,1.25
CS(=O)(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1,2.32
CC@Hc3ccc(F)cn3,4.65
O=C1CCCCCN1,5.21
CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3,1.54
CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4,3.25
Nc1ccc(cc1)c2nc3ccc(O)cc3s2,3.26
COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,5.20
CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,6.32
COc1cc(ccc1N2CCC@@HC2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5,4.21
CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,5.01
CC(C)(CCCCCOCCc1ccccc1)NCCc2ccc(O)c3nc(O)sc23,1.32
Clc1ccc(cc1)C(=O)Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4,2.36
COc1ccc(Oc2cccc(CN3CCCC(C3)N4C=C(C)C(=O)NC4=O)c2)cc1,6.21
OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,2.01
CNCCC@@Hc2ccccc2,1.36
Clc1ccc(N2CCN(CC2)C(=O)CCCc3ccncc3)c(Cl)c1,4.01
COc1cnc(nc1N(C)C)c2ccccn2,3.02
