canonical_smiles,count,original_smiles
CCCN(CCC)CCc1cccc2c1CC(=O)N2,3,CCCN(CCc1c2c(ccc1)NC(=O)C2)CCC|C1C(Nc2c1c(ccc2)CCN(CCC)CCC)=O|C2=C(C1=C(NC(C1)=O)C=C2)CCN(CCC)CCC
CN(C)CCc1ccccn1,3,n(ccc1)c(c1)CCN(C)C|c1c(nccc1)CCN(C)C|c1cc(CCN(C)C)ncc1
CNCCc1ccccn1,3,n(ccc1)c(c1)CCNC|c1c(nccc1)CCNC|c1cc(CCNC)ncc1
NCCc1cn2ccccc2n1,3,c1cccn2c1nc(c2)CCN|NCCc1cn2c(n1)cccc2|c1c(nc2n1cccc2)CCN
C=COC=C,2,C=COC=C|C(=C)OC=C
CC(=O)NCCCOc1cccc(CN2CCCCC2)c1,2,C1CCN(CC1)Cc1cccc(c1)OCCCNC(=O)C|C1CN(CCC1)Cc1cccc(c1)OCCCNC(=O)C
CC(=O)Nc1ccc(O)cc1,2,CC(=O)Nc1ccc(O)cc1|N(C(=O)C)C1=CC=C(O)C=C1
CC(=O)Nc1nnc(S(N)(=O)=O)s1,2,CC(=O)Nc1sc(nn1)[S](N)(=O)=O|CC(NC1=NN=C(S1)[S](N)(=O)=O)=O
CC(=O)Oc1ccccc1C(=O)O,2,CC(=O)Oc1ccccc1C(O)=O|C1=CC=CC(=C1C(O)=O)OC(C)=O
CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,2,C(=O)(OC(C)(C)C)CCCc1ccc(cc1)N(CCCl)CCCl|c1cc(ccc1CCCC(OC(C)(C)C)=O)N(CCCl)CCCl
CC(C)c1cccc(C(C)C)c1O,2,CC(C)c1cccc(C(C)C)c1O|C1=CC=C(C(=C1C(C)C)O)C(C)C
CC(C)c1nc(-c2ncn3c2CN(C)C(=O)c2c(Cl)cccc2-3)no1,2,CN1C(=O)c2c(cccc2Cl)n2cnc(c2C1)c1noc(n1)C(C)C|CC(C)c1onc(n1)c2ncn3c2CN(C)C(=O)c4c(Cl)cccc34
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,2,CC(CN1c2ccccc2Sc3ccccc13)N(C)C|C1=CC=CC2=C1N(C3=C(S2)C=CC=C3)CC(C)N(C)C
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,2,c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2C(C)CO3)=O|CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(O)=O
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,2,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2|C1=CC=CC=C1C(C2=CC=CC=C2)(C(CC)=O)CC(N(C)C)C
CCC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,2,CCC(=O)c1ccc2Sc3ccccc3N(CCCN4CCN(CCO)CC4)c2c1|C1=C(C=CC3=C1N(CCCN2CCN(CC2)CCO)C4=C(S3)C=CC=C4)C(CC)=O
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,2,c1(c(cc(NC(CCC)=O)cc1)C(C)=O)OCC(CNC(C)C)O|CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O
CCCCCn1ccc(=O)c(O)c1C,2,CCCCCN1C=CC(=O)C(=C1C)O|c1cn(CCCCC)c(C)c(O)c1=O
CCCN(CCC)CCc1ccc(O)c2c1CC(=O)N2,2,CCCN(CCc1c2c(c(cc1)O)NC(=O)C2)CCC|C1C(Nc2c1c(ccc2O)CCN(CCC)CCC)=O
CCNCc1c(CSC)cnc(C)c1O,2,CCNCc1c(O)c(C)ncc1CSC|C1=C(C(=C(O)C(=N1)C)CNCC)CSC
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,2,CCOC(=O)N1CCC(CC1)=C2c3ccc(Cl)cc3CCc4cccnc24|C1=CC(=CC2=C1C(C3=C(CC2)C=CC=N3)=C4CCN(C(OCC)=O)CC4)Cl
CCc1ccccc1,2,c1(ccccc1)CC|CCc1ccccc1
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,2,CN(C)C(=O)C(CCN1CCC(O)(CC1)c1ccc(Cl)cc1)(c1ccccc1)c1ccccc1|CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4
CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1,2,CN(C)C/C=C(/c1ccc(Br)cc1)c2cccnc2|C2=C(\C(C1=CC=CN=C1)=C\CN(C)C)C=CC(=C2)Br
CN(C)CCC=C1c2ccccc2CCc2ccccc21,2,CN(CCC=C1c2ccccc2CCc2ccccc12)C|CN(C)CCC=C1c2ccccc2CCc3ccccc13
CN(C)CCCN1c2ccccc2CCc2ccccc21,2,CN(C)CCCN1c2ccccc2CCc3ccccc13|C1=CC=CC2=C1N(C3=C(CC2)C=CC=C3)CCCN(C)C
CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1,2,c1cc2c(cc(CC3=CNC(=NC3=O)NCCSCc3oc(cc3)CN(C)C)cc2)cc1|c1c(oc(c1)CN(C)C)CSCCNc1nc(c(c[nH]1)Cc1cc2c(cc1)cccc2)=O
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,2,CN1C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3|C1=CC=CC=C1C(C(OC2CC3N(C)C(C2)CC3)=O)CO
