smiles,FDA_APPROVED,CT_TOX,rdkit_desc,pubchem_desc,description
*C(=O)[C@H](CCCCNC(=O)OCCOC)NC(=O)OCCOC,1,0,"*C(=O)[C@H](CCCCNC(=O)OCCOC)NC(=O)OCCOC：This molecule, defined by the chemical formula C14H25*N2O7, possesses a molecular weight of 333.36 g/mol. The structural framework incorporates amide groups, ether groups. Topological analysis indicates the presence of 0 ring system(s), including 0 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 3.83. The stereochemical configuration is defined by 1 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of 0.35 and a TPSA of 112.19 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 23 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 13 rotatable bonds and a FractionCSP3 of 0.79, while its interaction profile is defined by 2 hydrogen bond donor(s) and 7 acceptor(s).","Error: PubChem HTTP Error 400 PUGREST.BadRequest: Unable to standardize the given structure - perhaps some special characters need to be escaped or data packed in a MIME form? (error: , status: 400, output: Caught ncbi::CException: Standardization failed, Output Log:, Record 1: Warning: Cactvs Ensemble cannot be created from input string, Record 1: Error: Unable to convert input into a compound object, , )","*C(=O)[C@H](CCCCNC(=O)OCCOC)NC(=O)OCCOC：This molecule, defined by the chemical formula C14H25*N2O7, possesses a molecular weight of 333.36 g/mol. The structural framework incorporates amide groups, ether groups. Topological analysis indicates the presence of 0 ring system(s), including 0 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 3.83. The stereochemical configuration is defined by 1 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of 0.35 and a TPSA of 112.19 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 23 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 13 rotatable bonds and a FractionCSP3 of 0.79, while its interaction profile is defined by 2 hydrogen bond donor(s) and 7 acceptor(s).
Error: PubChem HTTP Error 400 PUGREST.BadRequest: Unable to standardize the given structure - perhaps some special characters need to be escaped or data packed in a MIME form? (error: , status: 400, output: Caught ncbi::CException: Standardization failed, Output Log:, Record 1: Warning: Cactvs Ensemble cannot be created from input string, Record 1: Error: Unable to convert input into a compound object, , )"
[C@@H]1([C@@H]([C@@H]([C@H]([C@@H]([C@@H]1Cl)Cl)Cl)Cl)Cl)Cl,1,0,"[C@@H]1([C@@H]([C@@H]([C@H]([C@@H]([C@@H]1Cl)Cl)Cl)Cl)Cl)Cl：This molecule, defined by the chemical formula C6H6Cl6, possesses a molecular weight of 290.83 g/mol. The structural framework incorporates halogen substituents. Topological analysis indicates the presence of 1 ring system(s), including 0 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.76. The stereochemical configuration is defined by 0 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of 3.64 and a TPSA of 0.0 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 12 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 0 rotatable bonds and a FractionCSP3 of 1.0, while its interaction profile is defined by 0 hydrogen bond donor(s) and 0 acceptor(s).","Hexachlorocyclohexane (all isomers including lindane) can cause cancer according to an independent committee of scientific and health experts.Hexachlorocyclohexane (all isomers) appears as white to yellow powder or flakes. Musty odor. The gamma isomer is known as lindane, a systemic insecticide. Toxic by ingestion or inhalation.Beta-hexachlorocyclohexane is the beta-isomer of hexachlorocyclohexane. It has a role as a persistent organic pollutant. It is an organochlorine pesticide and a hexachlorocyclohexane.a-Hexachlorocyclohexane is a brownish-white colored, sand-like powder with a phosgene-like odor that emits toxic fumes of phosgene gas, hydrochloric acid and other chlorinated compounds when heated to decomposition. a-Hexachlorocyclohexane is the alpha-isomer of hexachlorocyclohexane and is used as an insecticide to treat lice and scabies. Inhalation exposure to this substance causes severe irritation of the nose, throat and lungs; causes anemia, and affects the liver, kidneys, nervous system, cardiovascular system and immune system. a-Hexachlorocyclohexane is reasonably anticipated to be a human carcinogen. (NCI05)b-Hexachlorocyclohexane is a colorless, sand-like powder that emits toxic fumes of phosgene gas, hydrochloric acid and other chlorinated compounds when heated to decomposition. b-Hexachlorocyclohexane is the beta-isomer of hexachlorocyclohexane and is used as an insecticide. Inhalation exposure to this substance causes severe irritation of the nose, throat, and lungs; causes anemia, and affects the liver, kidneys, nervous system, cardiovascular system and immune system. b-Hexachlorocyclohexane is reasonably anticipated to be a human carcinogen. (NCI05)LINDANE is a small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1974 and is indicated for parasitic infection and has 1 investigational indication. It was withdrawn in at least one region. This drug has a black box warning from the FDA.An organochlorine insecticide that has been used as a pediculicide and a scabicide. Lindane has been banned in California, United Kingdom, Australia, and many western countries due to concerns about neurotoxicity and adverse effects on the environment. In Canada, Lindane is not recommmended as a first-line therapy due to reports of resistance, neurotoxicity, and bone marrow suppression, but has been approved by the FDA as a second-line therapy for topical treatment of pediculosis capitis (head lice), pediculosis pubis (pubic lice), or scabies in patients greater than two years of age who cannot tolerate or have failed first-line treatment.Beta Hexachlorocyclohexane(beta-HCH) is one of eight isoforms of the commercially manufactured chemical hexachlorocyclohexane. It is used as an insecticide on fruit, vegetables, and forest crops and is also available as a prescription (lotion, cream, or shampoo) to treat head and body lice, and scabies. (L108). beta-HCH causes nonestrogenic immune function changes in the adult mouse without gross changes in lymphoid organ weight, histology, or cellularity.Hexachlorocyclohexane, Delta- is one of eight isoforms of the commercially manufactured chemical hexachlorocyclohexane. It is used as an insecticide on fruit, vegetables, and forest crops and is also available as a prescription (lotion, cream, or shampoo) to treat head and body lice, and scabies. (L108)Hexachlorocyclohexane, Alpha- is one of eight isoforms of the commercially manufactured chemical hexachlorocyclohexane. It is used as an insecticide on fruit, vegetables, and forest crops and is also available as a prescription (lotion, cream, or shampoo) to treat head and body lice, and scabies. (L108)Technical grade hexachlorocyclohexane is a manufactured chemical that typically consists of the alpha, beta, delta, epsilon, and gamma isomers of hexachlorocyclohexane. It is used as an insecticide on fruit, vegetables, and forest crops and is also available as a prescription (lotion, cream, or shampoo) to treat head and body lice, and scabies. (L108)Any of several polyhalogenated organic compounds consisting of a six-carbon ring with one chlorine and one hydrogen attached to each carbon.See also: Lindane (has subclass); delta-Hexachlorocyclohexane (has subclass); Beta-Hexachlorocyclohexane (has subclass) ... View More ...","[C@@H]1([C@@H]([C@@H]([C@H]([C@@H]([C@@H]1Cl)Cl)Cl)Cl)Cl)Cl：This molecule, defined by the chemical formula C6H6Cl6, possesses a molecular weight of 290.83 g/mol. The structural framework incorporates halogen substituents. Topological analysis indicates the presence of 1 ring system(s), including 0 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.76. The stereochemical configuration is defined by 0 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of 3.64 and a TPSA of 0.0 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 12 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 0 rotatable bonds and a FractionCSP3 of 1.0, while its interaction profile is defined by 0 hydrogen bond donor(s) and 0 acceptor(s).
Hexachlorocyclohexane (all isomers including lindane) can cause cancer according to an independent committee of scientific and health experts.Hexachlorocyclohexane (all isomers) appears as white to yellow powder or flakes. Musty odor. The gamma isomer is known as lindane, a systemic insecticide. Toxic by ingestion or inhalation.Beta-hexachlorocyclohexane is the beta-isomer of hexachlorocyclohexane. It has a role as a persistent organic pollutant. It is an organochlorine pesticide and a hexachlorocyclohexane.a-Hexachlorocyclohexane is a brownish-white colored, sand-like powder with a phosgene-like odor that emits toxic fumes of phosgene gas, hydrochloric acid and other chlorinated compounds when heated to decomposition. a-Hexachlorocyclohexane is the alpha-isomer of hexachlorocyclohexane and is used as an insecticide to treat lice and scabies. Inhalation exposure to this substance causes severe irritation of the nose, throat and lungs; causes anemia, and affects the liver, kidneys, nervous system, cardiovascular system and immune system. a-Hexachlorocyclohexane is reasonably anticipated to be a human carcinogen. (NCI05)b-Hexachlorocyclohexane is a colorless, sand-like powder that emits toxic fumes of phosgene gas, hydrochloric acid and other chlorinated compounds when heated to decomposition. b-Hexachlorocyclohexane is the beta-isomer of hexachlorocyclohexane and is used as an insecticide. Inhalation exposure to this substance causes severe irritation of the nose, throat, and lungs; causes anemia, and affects the liver, kidneys, nervous system, cardiovascular system and immune system. b-Hexachlorocyclohexane is reasonably anticipated to be a human carcinogen. (NCI05)LINDANE is a small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1974 and is indicated for parasitic infection and has 1 investigational indication. It was withdrawn in at least one region. This drug has a black box warning from the FDA.An organochlorine insecticide that has been used as a pediculicide and a scabicide. Lindane has been banned in California, United Kingdom, Australia, and many western countries due to concerns about neurotoxicity and adverse effects on the environment. In Canada, Lindane is not recommmended as a first-line therapy due to reports of resistance, neurotoxicity, and bone marrow suppression, but has been approved by the FDA as a second-line therapy for topical treatment of pediculosis capitis (head lice), pediculosis pubis (pubic lice), or scabies in patients greater than two years of age who cannot tolerate or have failed first-line treatment.Beta Hexachlorocyclohexane(beta-HCH) is one of eight isoforms of the commercially manufactured chemical hexachlorocyclohexane. It is used as an insecticide on fruit, vegetables, and forest crops and is also available as a prescription (lotion, cream, or shampoo) to treat head and body lice, and scabies. (L108). beta-HCH causes nonestrogenic immune function changes in the adult mouse without gross changes in lymphoid organ weight, histology, or cellularity.Hexachlorocyclohexane, Delta- is one of eight isoforms of the commercially manufactured chemical hexachlorocyclohexane. It is used as an insecticide on fruit, vegetables, and forest crops and is also available as a prescription (lotion, cream, or shampoo) to treat head and body lice, and scabies. (L108)Hexachlorocyclohexane, Alpha- is one of eight isoforms of the commercially manufactured chemical hexachlorocyclohexane. It is used as an insecticide on fruit, vegetables, and forest crops and is also available as a prescription (lotion, cream, or shampoo) to treat head and body lice, and scabies. (L108)Technical grade hexachlorocyclohexane is a manufactured chemical that typically consists of the alpha, beta, delta, epsilon, and gamma isomers of hexachlorocyclohexane. It is used as an insecticide on fruit, vegetables, and forest crops and is also available as a prescription (lotion, cream, or shampoo) to treat head and body lice, and scabies. (L108)Any of several polyhalogenated organic compounds consisting of a six-carbon ring with one chlorine and one hydrogen attached to each carbon.See also: Lindane (has subclass); delta-Hexachlorocyclohexane (has subclass); Beta-Hexachlorocyclohexane (has subclass) ... View More ..."
[C@H]([C@@H]([C@@H](C(=O)[O-])O)O)([C@H](C(=O)[O-])O)O,1,0,"[C@H]([C@@H]([C@@H](C(=O)[O-])O)O)([C@H](C(=O)[O-])O)O：This molecule, defined by the chemical formula C6H8O8-2, possesses a molecular weight of 208.12 g/mol. The structure consists of a complex hydrocarbon-based framework. Topological analysis indicates the presence of 0 ring system(s), including 0 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 4.45. The stereochemical configuration is defined by 4 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of -6.07 and a TPSA of 161.18 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 14 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 5 rotatable bonds and a FractionCSP3 of 0.67, while its interaction profile is defined by 4 hydrogen bond donor(s) and 8 acceptor(s).",D-glucarate(2-) is dicarboxylate anion of D-glucaric acid; major species at pH 7.3. It has a role as a human metabolite. It is a conjugate base of a D-glucarate(1-).,"[C@H]([C@@H]([C@@H](C(=O)[O-])O)O)([C@H](C(=O)[O-])O)O：This molecule, defined by the chemical formula C6H8O8-2, possesses a molecular weight of 208.12 g/mol. The structure consists of a complex hydrocarbon-based framework. Topological analysis indicates the presence of 0 ring system(s), including 0 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 4.45. The stereochemical configuration is defined by 4 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of -6.07 and a TPSA of 161.18 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 14 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 5 rotatable bonds and a FractionCSP3 of 0.67, while its interaction profile is defined by 4 hydrogen bond donor(s) and 8 acceptor(s).
D-glucarate(2-) is dicarboxylate anion of D-glucaric acid; major species at pH 7.3. It has a role as a human metabolite. It is a conjugate base of a D-glucarate(1-)."
[H]/[NH+]=C(/C1=CC(=O)/C(=C\C=c2ccc(=C([NH3+])N)cc2)/C=C1)\N,1,0,"[H]/[NH+]=C(/C1=CC(=O)/C(=C\C=c2ccc(=C([NH3+])N)cc2)/C=C1)\N：This molecule, defined by the chemical formula C16H18N4O+2, possesses a molecular weight of 282.35 g/mol. The structural framework incorporates aromatic benzene rings, primary amine groups. Topological analysis indicates the presence of 2 ring system(s), including 1 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.27. The stereochemical configuration is defined by 0 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of -3.16 and a TPSA of 122.34 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 21 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 2 rotatable bonds and a FractionCSP3 of 0.0, while its interaction profile is defined by 4 hydrogen bond donor(s) and 2 acceptor(s).",API Error.,"[H]/[NH+]=C(/C1=CC(=O)/C(=C\C=c2ccc(=C([NH3+])N)cc2)/C=C1)\N：This molecule, defined by the chemical formula C16H18N4O+2, possesses a molecular weight of 282.35 g/mol. The structural framework incorporates aromatic benzene rings, primary amine groups. Topological analysis indicates the presence of 2 ring system(s), including 1 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.27. The stereochemical configuration is defined by 0 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of -3.16 and a TPSA of 122.34 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 21 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 2 rotatable bonds and a FractionCSP3 of 0.0, while its interaction profile is defined by 4 hydrogen bond donor(s) and 2 acceptor(s).
API Error."
[H]/[NH+]=C(\N)/c1ccc(cc1)OCCCCCOc2ccc(cc2)/C(=[NH+]/[H])/N,1,0,"[H]/[NH+]=C(\N)/c1ccc(cc1)OCCCCCOc2ccc(cc2)/C(=[NH+]/[H])/N：This molecule, defined by the chemical formula C19H26N4O2+2, possesses a molecular weight of 342.44 g/mol. The structural framework incorporates aromatic benzene rings, primary amine groups, ether groups. Topological analysis indicates the presence of 2 ring system(s), including 2 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.59. The stereochemical configuration is defined by 0 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of -0.76 and a TPSA of 121.68 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 25 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 10 rotatable bonds and a FractionCSP3 of 0.26, while its interaction profile is defined by 4 hydrogen bond donor(s) and 2 acceptor(s).",Pentamidinium(2+) is a carboxamidinium ion obtained by protonation of both amindino groups of pentamidine. It is a conjugate acid of a pentamidine.,"[H]/[NH+]=C(\N)/c1ccc(cc1)OCCCCCOc2ccc(cc2)/C(=[NH+]/[H])/N：This molecule, defined by the chemical formula C19H26N4O2+2, possesses a molecular weight of 342.44 g/mol. The structural framework incorporates aromatic benzene rings, primary amine groups, ether groups. Topological analysis indicates the presence of 2 ring system(s), including 2 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.59. The stereochemical configuration is defined by 0 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of -0.76 and a TPSA of 121.68 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 25 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 10 rotatable bonds and a FractionCSP3 of 0.26, while its interaction profile is defined by 4 hydrogen bond donor(s) and 2 acceptor(s).
Pentamidinium(2+) is a carboxamidinium ion obtained by protonation of both amindino groups of pentamidine. It is a conjugate acid of a pentamidine."
[N+](=O)([O-])[O-],1,0,"[N+](=O)([O-])[O-]：This molecule, defined by the chemical formula NO3-, possesses a molecular weight of 62.0 g/mol. The structure consists of a complex hydrocarbon-based framework. Topological analysis indicates the presence of 0 ring system(s), including 0 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.8. The stereochemical configuration is defined by 0 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of -0.24 and a TPSA of 66.2 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 4 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 0 rotatable bonds and a FractionCSP3 of 0.0, while its interaction profile is defined by 0 hydrogen bond donor(s) and 3 acceptor(s).","Nitrate is a nitrogen oxoanion formed by loss of a proton from nitric acid. Principal species present at pH 7.3. It is a nitrogen oxoanion, a member of reactive nitrogen species and a monovalent inorganic anion. It is a conjugate base of a nitric acid.Nitrate is a metabolite found in or produced by Escherichia coli (strain K12, MG1655).Nitrate is a class of ester compounds of nitric acid (HNO3) and alcohols.In inorganic chemistry, a nitrate is a salt of nitric acid. In organic chemistry the esters of nitric acid and various alcohols are called nitrates. The nitrate ion is a polyatomic anion with the empirical formula NO3- and a molecular mass of 62.01 daltons; it consists of one central nitrogen atom surrounded by three identical oxygen atoms in a trigonal planar arrangement. The nitrate ion carries a negative one formal charge. Nitrates should not be confused with nitrites, the salts of nitrous acid. Organic compounds containing the nitro functional group (which has the same formula and structure as the nitrate ion save that one of the O2 atoms is replaced by the R group) are known as nitro compounds. Nitrate ions can be toxic. In particular, nitrate toxicosis in humans occurs through enterohepatic metabolism of nitrates to ammonia, with nitrite being an intermediate. Nitrites oxidize the iron atoms in hemoglobin from Ferrous Iron (2+) to Ferric Iron (3+), rendering it unable to carry oxygen. This condition is called methemoglobinemia and can lead to a lack of oxygen in tissues. Methemoglobinemia can be treated with methylene blue. -- Wikipedia.Nitrate is a metabolite found in or produced by Saccharomyces cerevisiae.Inorganic or organic salts and esters of nitric acid. These compounds contain the NO3- radical.","[N+](=O)([O-])[O-]：This molecule, defined by the chemical formula NO3-, possesses a molecular weight of 62.0 g/mol. The structure consists of a complex hydrocarbon-based framework. Topological analysis indicates the presence of 0 ring system(s), including 0 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.8. The stereochemical configuration is defined by 0 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of -0.24 and a TPSA of 66.2 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 4 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 0 rotatable bonds and a FractionCSP3 of 0.0, while its interaction profile is defined by 0 hydrogen bond donor(s) and 3 acceptor(s).
Nitrate is a nitrogen oxoanion formed by loss of a proton from nitric acid. Principal species present at pH 7.3. It is a nitrogen oxoanion, a member of reactive nitrogen species and a monovalent inorganic anion. It is a conjugate base of a nitric acid.Nitrate is a metabolite found in or produced by Escherichia coli (strain K12, MG1655).Nitrate is a class of ester compounds of nitric acid (HNO3) and alcohols.In inorganic chemistry, a nitrate is a salt of nitric acid. In organic chemistry the esters of nitric acid and various alcohols are called nitrates. The nitrate ion is a polyatomic anion with the empirical formula NO3- and a molecular mass of 62.01 daltons; it consists of one central nitrogen atom surrounded by three identical oxygen atoms in a trigonal planar arrangement. The nitrate ion carries a negative one formal charge. Nitrates should not be confused with nitrites, the salts of nitrous acid. Organic compounds containing the nitro functional group (which has the same formula and structure as the nitrate ion save that one of the O2 atoms is replaced by the R group) are known as nitro compounds. Nitrate ions can be toxic. In particular, nitrate toxicosis in humans occurs through enterohepatic metabolism of nitrates to ammonia, with nitrite being an intermediate. Nitrites oxidize the iron atoms in hemoglobin from Ferrous Iron (2+) to Ferric Iron (3+), rendering it unable to carry oxygen. This condition is called methemoglobinemia and can lead to a lack of oxygen in tissues. Methemoglobinemia can be treated with methylene blue. -- Wikipedia.Nitrate is a metabolite found in or produced by Saccharomyces cerevisiae.Inorganic or organic salts and esters of nitric acid. These compounds contain the NO3- radical."
[N]=O,1,0,"[N]=O：This molecule, defined by the chemical formula NO, possesses a molecular weight of 30.01 g/mol. The structure consists of a complex hydrocarbon-based framework. Topological analysis indicates the presence of 0 ring system(s), including 0 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.0. The stereochemical configuration is defined by 0 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of -0.45 and a TPSA of 39.37 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 2 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 0 rotatable bonds and a FractionCSP3 of 0.0, while its interaction profile is defined by 0 hydrogen bond donor(s) and 1 acceptor(s).",Nitroxyl is a nitrogen oxoacid consisting of an oxygen atom double-bonded to an NH group.hydroxamic acid oxidized to nitroxyl free radical,"[N]=O：This molecule, defined by the chemical formula NO, possesses a molecular weight of 30.01 g/mol. The structure consists of a complex hydrocarbon-based framework. Topological analysis indicates the presence of 0 ring system(s), including 0 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.0. The stereochemical configuration is defined by 0 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of -0.45 and a TPSA of 39.37 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 2 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 0 rotatable bonds and a FractionCSP3 of 0.0, while its interaction profile is defined by 0 hydrogen bond donor(s) and 1 acceptor(s).
Nitroxyl is a nitrogen oxoacid consisting of an oxygen atom double-bonded to an NH group.hydroxamic acid oxidized to nitroxyl free radical"
[NH4][Pt]([NH4])(Cl)Cl,1,0,Error: Invalid SMILES string.,"Cisplatin is a diamminedichloroplatinum compound in which the two ammine ligands and two chloro ligands are oriented in a cis planar configuration around the central platinum ion. An anticancer drug that interacts with, and forms cross-links between, DNA and proteins, it is used as a neoplasm inhibitor to treat solid tumours, primarily of the testis and ovary. Commonly but incorrectly described as an alkylating agent due to its mechanism of action (but it lacks alkyl groups). It has a role as an antineoplastic agent, a photosensitizing agent, a cross-linking reagent, a genotoxin, a ferroptosis inducer, an apoptosis inducer, a nephrotoxic agent and a mutagen.ineffective as antineoplastic agent","Error: Invalid SMILES string.
Cisplatin is a diamminedichloroplatinum compound in which the two ammine ligands and two chloro ligands are oriented in a cis planar configuration around the central platinum ion. An anticancer drug that interacts with, and forms cross-links between, DNA and proteins, it is used as a neoplasm inhibitor to treat solid tumours, primarily of the testis and ovary. Commonly but incorrectly described as an alkylating agent due to its mechanism of action (but it lacks alkyl groups). It has a role as an antineoplastic agent, a photosensitizing agent, a cross-linking reagent, a genotoxin, a ferroptosis inducer, an apoptosis inducer, a nephrotoxic agent and a mutagen.ineffective as antineoplastic agent"
[O-][99Tc](=O)(=O)=O,1,0,"[O-][99Tc](=O)(=O)=O：This molecule, defined by the chemical formula O4Tc-, possesses a molecular weight of 162.9 g/mol. The structure consists of a complex hydrocarbon-based framework. Topological analysis indicates the presence of 0 ring system(s), including 0 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 4.87. The stereochemical configuration is defined by 0 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of -1.55 and a TPSA of 74.27 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 5 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 0 rotatable bonds and a FractionCSP3 of 0.0, while its interaction profile is defined by 0 hydrogen bond donor(s) and 4 acceptor(s).","Technetium Tc-99m pertechnetate is a radiopharmaceutical diagnostic agent composed of an oxoanion with the chemical formula TcO4-. Pertechnetate has a wide variety of uses within nuclear medicine as it distributes within the body to a similar extent as iodine. It also concentrates in the thyroid gland, salivary glands, gastric mucosa, and choroid plexus. However, in contrast to the iodide ion, the pertechnetate ion is released unchanged from the thyroid gland. Currently marketed as the product Drytec, technetium-99m pertechnetate is indicated for imaging of the following tissues:  thyroid, salivary gland, urinary bladder (for detection of vesico-ureteral reflux), and the nasolacrimal drainage system.  Technetium-99m's short half life (6 hours) makes storage impossible, therefore it is supplied as its parent nuclide molybdenum-99, which spontaneously decays to technetium-99 through beta decay. This is normally supplied in a hospital setting through the use of a technetium-99m generator, whereby technetium exits the generator in the form of the pertechnetate ion, TcO4−, which can be extracted and promptly used for clinical diagnostics. Following intravenous injection, single photon emission computed tomography (SPECT) is performed to detect the gamma ray emmitted by the decay of Technetium-99m to Technetium-99.","[O-][99Tc](=O)(=O)=O：This molecule, defined by the chemical formula O4Tc-, possesses a molecular weight of 162.9 g/mol. The structure consists of a complex hydrocarbon-based framework. Topological analysis indicates the presence of 0 ring system(s), including 0 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 4.87. The stereochemical configuration is defined by 0 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of -1.55 and a TPSA of 74.27 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 5 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 0 rotatable bonds and a FractionCSP3 of 0.0, while its interaction profile is defined by 0 hydrogen bond donor(s) and 4 acceptor(s).
Technetium Tc-99m pertechnetate is a radiopharmaceutical diagnostic agent composed of an oxoanion with the chemical formula TcO4-. Pertechnetate has a wide variety of uses within nuclear medicine as it distributes within the body to a similar extent as iodine. It also concentrates in the thyroid gland, salivary glands, gastric mucosa, and choroid plexus. However, in contrast to the iodide ion, the pertechnetate ion is released unchanged from the thyroid gland. Currently marketed as the product Drytec, technetium-99m pertechnetate is indicated for imaging of the following tissues:  thyroid, salivary gland, urinary bladder (for detection of vesico-ureteral reflux), and the nasolacrimal drainage system.  Technetium-99m's short half life (6 hours) makes storage impossible, therefore it is supplied as its parent nuclide molybdenum-99, which spontaneously decays to technetium-99 through beta decay. This is normally supplied in a hospital setting through the use of a technetium-99m generator, whereby technetium exits the generator in the form of the pertechnetate ion, TcO4−, which can be extracted and promptly used for clinical diagnostics. Following intravenous injection, single photon emission computed tomography (SPECT) is performed to detect the gamma ray emmitted by the decay of Technetium-99m to Technetium-99."
[O-]P(=O)([O-])F,1,0,"[O-]P(=O)([O-])F：This molecule, defined by the chemical formula FO3P-2, possesses a molecular weight of 97.97 g/mol. The structural framework incorporates halogen substituents. Topological analysis indicates the presence of 0 ring system(s), including 0 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 3.47. The stereochemical configuration is defined by 0 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of -1.22 and a TPSA of 63.19 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 5 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 0 rotatable bonds and a FractionCSP3 of 0.0, while its interaction profile is defined by 0 hydrogen bond donor(s) and 3 acceptor(s).",Fluoridophosphate is a phosphoric acid derivative and a fluorine molecular entity.inhibits Phosphorylas phosphatase irreversibly; RN given refers to parent cpd,"[O-]P(=O)([O-])F：This molecule, defined by the chemical formula FO3P-2, possesses a molecular weight of 97.97 g/mol. The structural framework incorporates halogen substituents. Topological analysis indicates the presence of 0 ring system(s), including 0 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 3.47. The stereochemical configuration is defined by 0 stereogenic center(s)). From a physicochemical perspective, the molecule exhibits a LogP of -1.22 and a TPSA of 63.19 Å², key parameters governing its lipophilicity and polar surface interactions. It contains 5 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 0 rotatable bonds and a FractionCSP3 of 0.0, while its interaction profile is defined by 0 hydrogen bond donor(s) and 3 acceptor(s).
Fluoridophosphate is a phosphoric acid derivative and a fluorine molecular entity.inhibits Phosphorylas phosphatase irreversibly; RN given refers to parent cpd"
