CMPD_CHEMBLID,exp,smiles,description
CHEMBL596271,3.54,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,"Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14：This molecule, defined by the chemical formula C19H21ClN4, possesses a molecular weight of 340.86 g/mol. The structural framework incorporates aromatic benzene rings, halogen substituents. Topological analysis indicates the presence of 4 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.42. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.55 and a TPSA of 24.3 Å². It contains 24 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 3 rotatable bonds and a FractionCSP3 of 0.32, while its interaction profile is defined by 0 hydrogen bond donor(s) and 4 acceptor(s)."
CHEMBL1951080,-1.18,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,"COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23：This molecule, defined by the chemical formula C22H26N2O7S2, possesses a molecular weight of 494.59 g/mol. The structural framework incorporates aromatic benzene rings, amide groups, ether groups. Topological analysis indicates the presence of 3 ring system(s), including 2 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.02. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 2.99 and a TPSA of 122.24 Å². It contains 33 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 9 rotatable bonds and a FractionCSP3 of 0.36, while its interaction profile is defined by 2 hydrogen bond donor(s) and 7 acceptor(s)."
CHEMBL1771,3.69,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,"COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl：This molecule, defined by the chemical formula C16H16ClNO2S, possesses a molecular weight of 321.83 g/mol. The structural framework incorporates aromatic benzene rings, halogen substituents, ester linkages, ether groups. Topological analysis indicates the presence of 3 ring system(s), including 2 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.94. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.67 and a TPSA of 29.54 Å². It contains 21 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 3 rotatable bonds and a FractionCSP3 of 0.31, while its interaction profile is defined by 0 hydrogen bond donor(s) and 4 acceptor(s).
Clopidogrel is a thienopyridine that is 4,5,6,7-tetrahydrothieno[3,2-c]pyridine in which the hydrogen attached to the nitrogen is replaced by an o-chlorobenzyl group, the methylene hydrogen of which is replaced by a methoxycarbonyl group (the S enantiomer). A P2Y12 receptor antagonist, it is used to inhibit blood clots and prevent heart attacks. It has a role as a platelet aggregation inhibitor, an anticoagulant and a P2Y12 receptor antagonist. It is a thienopyridine, a member of monochlorobenzenes and a methyl ester. It is functionally related to a ticlopidine.Clopidogrel is a prodrug of a platelet inhibitor used to reduce the risk of myocardial infarction and stroke. Clopidogrel is indicated to reduce the risk of myocardial infarction for patients with non-ST elevated acute coronary syndrome (ACS), patients with ST-elevated myocardial infarction, and in recent MI, stroke, or established peripheral arterial disease,  It has been shown to be superior to [aspirin] in reducing cardiovascular outcomes in patients with cardiovascular disease and provides additional benefit to patients with acute coronary syndromes already taking aspirin.  Clopidogrel was granted FDA approval on 17 November 1997.Clopidogrel is a P2Y12 Platelet Inhibitor. The mechanism of action of clopidogrel is as a P2Y12 Receptor Antagonist, and Cytochrome P450 2C8 Inhibitor. The physiologic effect of clopidogrel is by means of Decreased Platelet Aggregation.Clopidogrel is an inhibitor of platelet aggregation that is used to decrease the risk of myocardial infarction and stroke in patients known to have atherosclerosis. Clopidogrel has been linked to rare instances of idiosyncratic, clinically apparent acute liver injury.Clopidogrel is a thienopyridine, with antiplatelet activity. Clopidogrel targets, irreversibly binds to and alters the platelet receptor for adenosine diphosphate (ADP), thereby blocking the binding of ADP to its receptor, inhibiting ADP-mediated activation of the glycoprotein complex GPIIb/IIIa, and inhibiting fibrinogen binding to platelets and platelet adhesion and aggregation. This results in increased bleeding time.CLOPIDOGREL is a small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1997 and has 8 approved and 50 investigational indications. This drug has a black box warning from the FDA.A ticlopidine analog and platelet purinergic P2Y receptor antagonist that inhibits adenosine diphosphate-mediated PLATELET AGGREGATION. It is used to prevent THROMBOEMBOLISM in patients with ARTERIAL OCCLUSIVE DISEASES; MYOCARDIAL INFARCTION; STROKE; or ATRIAL FIBRILLATION.See also: Ticlopidine (broader); Clopidogrel Bisulfate (active moiety of); Ticlopidine Hydrochloride (related) ... View More ..."
CHEMBL234951,3.37,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,"OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3：This molecule, defined by the chemical formula C19H18ClN3O4S, possesses a molecular weight of 419.89 g/mol. The structural framework incorporates aromatic benzene rings, amide groups, halogen substituents. Topological analysis indicates the presence of 4 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.57. It contains 2 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 1.92 and a TPSA of 105.66 Å². It contains 28 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 5 rotatable bonds and a FractionCSP3 of 0.26, while its interaction profile is defined by 4 hydrogen bond donor(s) and 5 acceptor(s)."
CHEMBL565079,3.1,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,"Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1：This molecule, defined by the chemical formula C21H27N5O2, possesses a molecular weight of 381.48 g/mol. The structural framework incorporates aromatic benzene rings, amide groups. Topological analysis indicates the presence of 2 ring system(s), including 2 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.24. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 2.01 and a TPSA of 99.81 Å². It contains 28 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 6 rotatable bonds and a FractionCSP3 of 0.43, while its interaction profile is defined by 2 hydrogen bond donor(s) and 5 acceptor(s)."
CHEMBL317462,3.14,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,"OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4：This molecule, defined by the chemical formula C21H21NO, possesses a molecular weight of 303.41 g/mol. The structural framework incorporates aromatic benzene rings. Topological analysis indicates the presence of 5 ring system(s), including 2 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.54. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.16 and a TPSA of 23.47 Å². It contains 23 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 1 rotatable bonds and a FractionCSP3 of 0.33, while its interaction profile is defined by 1 hydrogen bond donor(s) and 2 acceptor(s)."
CHEMBL1951182,-0.72,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3,"COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3：This molecule, defined by the chemical formula C24H31N3O7S, possesses a molecular weight of 505.59 g/mol. The structural framework incorporates aromatic benzene rings, amide groups, ether groups. Topological analysis indicates the presence of 3 ring system(s), including 2 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.85. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 2.98 and a TPSA of 134.27 Å². It contains 35 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 11 rotatable bonds and a FractionCSP3 of 0.42, while its interaction profile is defined by 3 hydrogen bond donor(s) and 7 acceptor(s)."
CHEMBL2030960,0.34,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,"CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1：This molecule, defined by the chemical formula C25H25Cl2N3O4, possesses a molecular weight of 502.4 g/mol. The structural framework incorporates aromatic benzene rings, amide groups, halogen substituents, ether groups. Topological analysis indicates the presence of 3 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.63. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 4.79 and a TPSA of 100.55 Å². It contains 34 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 10 rotatable bonds and a FractionCSP3 of 0.24, while its interaction profile is defined by 3 hydrogen bond donor(s) and 5 acceptor(s)."
CHEMBL13097,3.05,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,"COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O：This molecule, defined by the chemical formula C18H16O5, possesses a molecular weight of 312.32 g/mol. The structural framework incorporates aromatic benzene rings, ether groups. Topological analysis indicates the presence of 3 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.23. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.49 and a TPSA of 57.9 Å². It contains 23 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 4 rotatable bonds and a FractionCSP3 of 0.17, while its interaction profile is defined by 0 hydrogen bond donor(s) and 5 acceptor(s).
4',5,7-Trimethoxyisoflavone has been reported in Ochna afzelii and Myroxylon peruiferum with data available."
CHEMBL1527751,2.25,Oc1ncnc2scc(c3ccsc3)c12,"Oc1ncnc2scc(c3ccsc3)c12：This molecule, defined by the chemical formula C10H6N2OS2, possesses a molecular weight of 234.31 g/mol. The structural framework incorporates phenolic hydroxyls. Topological analysis indicates the presence of 3 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.37. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.13 and a TPSA of 46.01 Å². It contains 15 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 1 rotatable bonds and a FractionCSP3 of 0.0, while its interaction profile is defined by 1 hydrogen bond donor(s) and 5 acceptor(s)."
